name ,country,year,banned substance,sport,season ,city,medal
Hans-Gunnar Liljenwall,Sweden,1968,Ethanol,Modern pentathlon,summer,mexico,bronze
Bakaava Buidaa,Mongolia,1972,Dianabol,Judo,summer,munich,silver
Miguel Coll,Puerto Rico,1972,Amphetamine,Basketball,summer,munich,no medal
Rick DeMont,United States,1972,Ephedrine,Swimming,summer,munich,gold
Aad van den Hoek,Netherlands,1972,Coramine,Cycling,summer,munich,bronze
Jaime Huélamo,Spain,1972,Coramine,Cycling,summer,munich,bronze
Walter Legel,Austria,1972,Amphetamine,Weightlifting,summer,munich,no medal
Mohammad Reza Nasehi,Iran,1972,Ephedrine,Weightlifting,summer,munich,no medal
Blagoi Blagoev,Bulgaria,1976,Anabolic steroid,Weightlifting,summer,Montreal,silver
Mark Cameron,United States,1976,Anabolic steroid,Weightlifting,summer,Montreal,no medal
Paul Cerutti,Monaco,1976,Amphetamine,Shooting,summer,Montreal,no medal
Dragomir Cioroslan,Romania,1976,Fencamfamine,Weightlifting,summer,Montreal,no medal
Phil Grippaldi,United States,1976,Anabolic steroid,Weightlifting,summer,Montreal,no medal
Zbigniew Kaczmarek,Poland,1976,Anabolic steroid,Weightlifting,summer,Montreal,gold
Valentin Khristov,Bulgaria,1976,Anabolic steroid,Weightlifting,summer,Montreal,gold
Lorne Leibel,Canada,1976,Phenylpropanolamine,Sailing,summer,Montreal,no medal
Arne Norrback,Sweden,1976,Anabolic steroid,Weightlifting,summer,Montreal,no medal
Petr Pavlasek,Czechoslovakia,1976,Anabolic steroid,Weightlifting,summer,Montreal,no medal
Danuta Rosani,Poland,1976,Anabolic steroid,Athletics,summer,Montreal,no medal
Serafim Grammatikopoulos,Greece,1984,Nandrolone,Weightlifting,summer,Moscow,no medal
Vésteinn Hafsteinsson,Iceland,1984,Nandrolone,Athletics,summer,Moscow,no medal
Tomas Johansson,Sweden,1984,Methenolone,Wrestling,summer,Moscow,silver
Stefan Laggner,Austria,1984,Nandrolone,Weightlifting,summer,Moscow,no medal
Göran Pettersson,Sweden,1984,Nandrolone,Weightlifting,summer,Moscow,no medal
Eiji Shimomura,Japan,1984,Testosterone,Volleyball,summer,Moscow,no medal
Mikiyasu Tanaka,Japan,1984,Ephedrine,Volleyball,summer,Moscow,no medal
Ahmed Tarbi,Algeria,1984,Nandrolone,Weightlifting,summer,Moscow,no medal
Mahmoud Tarha,Lebanon,1984,Nandrolone,Weightlifting,summer,Moscow,no medal
Giampaolo Urlando,Italy,1984,Testosterone,Athletics,summer,Moscow,no medal
Martti Vainio,Finland,1984,Methenolone,Athletics,summer,Moscow,silver
Anna Verouli,Greece,1984,Nandrolone,Athletics,summer,Moscow,no medal
Ali Dad,Afghanistan,1988,Furosemide,Wrestling,summer,seoul,no medal
Kerrith Brown,Great Britain,1988,Furosemide,Judo,summer,seoul,bronze
Kalman Csengeri,Hungary,1988,Stanozolol,Weightlifting,summer,seoul,no medal
Mitko Grablev,Bulgaria,1988,Furosemide,Weightlifting,summer,seoul,gold
Angell Guenchev,Bulgaria,1988,Furosemide,Weightlifting,summer,seoul,gold
Ben Johnson,Canada,1988,Stanozolol,Athletics,summer,seoul,gold
Fernando Mariaca,Spain,1988,Pemoline,Weightlifting,summer,seoul,no medal
Jorge Quesada,Spain,1988,Propanolol,Modern pentathlon,summer,seoul,no medal
Andor Szanyi,Hungary,1988,Stanozolol,Weightlifting,summer,seoul,silver
Alexander Watson,Australia,1988,Caffeine,Modern Pentathlon,summer,seoul,no medal
Madina Biktagirova,Unified Team,1992,Norephedrine,Athletics,summer,Barcelona,no medal
Wu Dan,China,1992,Strychnine,Volleyball,summer,Barcelona,no medal
Bonnie Dasse,United States,1992,Clenbuterol,Athletics,summer,Barcelona,no medal
Andrew Davies,Great Britain,1992,Clenbuterol,Weightlifting,summer,Barcelona,no medal
Jason Livingston,Great Britain,1992,Anabolic steroid,Athletics,summer,Barcelona,no medal
Jud Logan,United States,1992,Clenbuterol,Athletics,summer,Barcelona,no medal
Nijolė Medvedeva,Lithuania,1992,Mesocarb,Athletics,summer,Barcelona,no medal
Andrew Saxton,Great Britain,1992,Clenbuterol,Weightlifting,summer,Barcelona,no medal
Antonella Bevilacqua,Italy,1996,Ephedrine and pseudoephedrine,Athletics,summer,Atlanta,no medal
Dean Capobianco,Australia,1996,Stanozolol,Athletics,summer,Atlanta,no medal
Sandra Farmer-Patrick,United States,1996,Testosterone,Athletics,summer,Atlanta,no medal
Daniel Plaza,Spain,1996,Nandrolone,Athletics,summer,Atlanta,no medal
Iva Prandzheva,Bulgaria,1996,Metadienone,Athletics,summer,Atlanta,no medal
Mary Slaney,United States,1996,Testosterone,Athletics,summer,Atlanta,no medal
Natalya Shekhodanova,Russia,1996,Stanozolol,Athletics,summer,Atlanta,no medal
Fritz Aanes,Norway,2000,Norandrosterone and noretiochdandone,Wrestling,summer,Sydney,no medal
Lance Armstrong,United States,2000,noretiochdandone,Cycling,summer,Sydney,bronze
Ashot Danielyan,Armenia,2000,Stanozolol,Weightlifting,summer,Sydney,bronze
Izabela Dragneva,Bulgaria,2000,Furosemide,Weightlifting,summer,Sydney,gold
Stian Grimseth,Norway,2000,Nandrolone,Weightlifting,summer,Sydney,no medal
Ivan Ivanov,Bulgaria,2000,Furosemide,Weightlifting,summer,Sydney,silver
Marion Jones,United States,2000,THG,Athletics,summer,Sydney,gold
Alexander Leipold,Germany,2000,Nandrolone,Wrestling,summer,Sydney,gold
Sevdalin Minchev,Bulgaria,2000,Furosemide,Weightlifting,summer,Sydney,bronze
Antonio Pettigrew,United States,2000,EPO and HGH,Athletics,summer,Sydney,gold
Svetlana Pospelova,Russia,2000,Stanozolol,Athletics,summer,Sydney,no medal
Oyuunbilegiin Pürevbaatar,Mongolia,2000,Furosemide,Wrestling,summer,Sydney,no medal
Andreea Răducan,Romania,2000,Pseudophedrine,Gymnastics,summer,Sydney,gold
Andris Reinholds,Latvia,2000,Nandrolone,Rowing,summer,Sydney,no medal
Jerome Young,United States,2000,Nandrolone,Athletics,summer,Sydney,gold
Wafa Ammouri,Morocco,2004,Anabolic steroid,Weightlifting,summer,Athens,no medal
Adrián Annus,Hungary,2004,"Falsified test result, evasion of doping control",Athletics,summer,Athens,gold
Ludger Beerbaum,Germany,2004,Betamethasone ,Equestrian,summer,Athens,gold
Yuriy Bilonog,Ukraine,2004,Oxandrolone,Athletics,summer,Athens,gold
Zhanna Block,Ukraine,2004,BALCO investigation,Athletics,summer,Athens,no medal
Andrew Brack,Greece,2004,Stanozolol,Baseball,summer,Athens,no medal
Viktor Chislean,Moldova,2004,Anabolic steroid,Weightlifting,summer,Athens,no medal
Crystal Cox,United States,2004,Anabolic agents and hormones,Athletics,summer,Athens,gold
Róbert Fazekas,Hungary,2004,Refused to submit sample,Athletics,summer,Athens,gold
Mabel Fonseca,Puerto Rico,2004,Stanozolol,Wrestling,summer,Athens,no medal
Anton Galkin,Russia,2004,Stanozolol,Athletics,summer,Athens,no medal
Ferenc Gyurkovics,Hungary,2004,Oxandrolone,Weightlifting,summer,Athens,silver
Tyler Hamilton,United States,2004,Use of prohibited substances and methods,Cycling,summer,Athens,gold
Marion Jones,United States,2004,BALCO investigation,Athletics,summer,Athens,no medal
Zoltan Kecskes,Hungary,2004,Anabolic steroid,Weightlifting,summer,Athens,no medal
Konstantinos Kenteris,Greece,2004,Evasion of doping control,Athletics,summer,Athens,no medal
Albina Khomich,Russia,2004,Testosterone,Weightlifting,summer,Athens,no medal
Aye Khine Nan,Myanmar,2004,Anabolic steroid,Weightlifting,summer,Athens,no medal
Irina Korzhanenko,Russia,2004,Stanozolol,Athletics,summer,Athens,gold
Zoltán Kovács,Hungary,2004,Refused to submit sample,Weightlifting,summer,Athens,no medal
Svetlana Krivelyova,Russia,2004,Oxandrolone,Athletics,summer,Athens,bronze
Pratima Kumari Na,India,2004,Anabolic steroid,Weightlifting,summer,Athens,no medal
Aleksey Lesnichiy,Belarus,2004,Clenbuterol,Athletics,summer,Athens,no medal
David Munyasia,Kenya,2004,Cathine,Boxing,summer,Athens,no medal
Derek Nicholson,Greece,2004,Diuretic ,Baseball,summer,Athens,no medal
Cian O'Connor,Ireland,2004,Antipsychotics,Equestrian,summer,Athens,gold
Olena Olefirenko,Ukraine,2004,Ethamivan,Rowing,summer,Athens,bronze
Oleg Perepetchenov,Russia,2004,Clenbuterol,Weightlifting,summer,Athens,bronze
Duane Ross,United States,2004,BALCO investigation,Athletics,summer,Athens,no medal
Leonidas Sampanis,Greece,2004,Testosterone,Weightlifting,summer,Athens,bronze
Thinbaijam Sanamcha Chanu,India,2004,Furosemide,Weightlifting,summer,Athens,no medal
Mital Sharipov,Kyrgyzstan,2004,Furosemide,Weightlifting,summer,Athens,no medal
Olga Shchukina,Uzbekistan,2004,Clenbuterol,Athletics,summer,Athens,no medal
Şule Şahbaz,Turkey,2004,Anabolic steroid,Weightlifting,summer,Athens,no medal
Ekaterini Thanou,Greece,2004,Evasion of doping control,Athletics,summer,Athens,no medal
Ivan Tsikhan,Belarus,2004,Methandienone ,Athletics,summer,Athens,silver
